p1,p2,p3,p4
sunlight,heat,hot air,colder air
SENTENCE,PHRASE,REFERENCE
Sunlight passes through the glass into the greenhouse.,sunlight,p1
Sunlight passes through the glass into the greenhouse.,through the glass into the greenhouse,
Sunlight passes through the glass into the greenhouse.,the glass,
The plants and floor absorb the the sunlight.,the plants and floor,
The plants and floor absorb the the sunlight.,the the sunlight,p1
The absorbed sunlight is converted to heat.,sunlight,p1
The absorbed sunlight is converted to heat.,the absorbed sunlight,p1
The absorbed sunlight is converted to heat.,to heat,p2
The absorbed sunlight is converted to heat.,heat,p2
The heat cannot escape the glass.,the heat,p2
The heat cannot escape the glass.,the glass,
The heat is trapped in the greenhouse.,the heat,p2
The heat is trapped in the greenhouse.,in the greenhouse,
The heat is trapped in the greenhouse.,the greenhouse,
The hot air rises.,the hot air,p3
The colder air at the top is pushed to the bottom.,the colder air at the top,p4
The colder air at the top is pushed to the bottom.,to the bottom,
The colder air at the top is pushed to the bottom.,the bottom,
The colder air is then warmed by the floor and the plants.,the colder air,p4
The colder air is then warmed by the floor and the plants.,by the floor and the plants,
The colder air is then warmed by the floor and the plants.,the floor and the plants,
