p1,p2,p3,p4,p5,p6,p7,p8
mushroom,basidia,spores,Hyphae,Mycelium,Hyphal knot,primordia,mushroom cap
SENTENCE,PHRASE,REFERENCE
A mushroom gives off gills lined with basidia.,a mushroom,p1
A mushroom gives off gills lined with basidia.,gills lined with basidia,p2
A mushroom gives off gills lined with basidia.,gills,
A mushroom gives off gills lined with basidia.,basidia,p2
The basidia gives off spores.,the basidia,p2
The basidia gives off spores.,spores,p3
The spores germinate.,the spores,p3
The spores create Hyphae.,the spores,p3
The spores create Hyphae.,hyphae,p4
Multiple Hyphae meet and converge.,multiple hyphae,p4
Multiple Hyphae meet and converge.,multiple hyphae,p4
They join with Mycelium.,they,
They join with Mycelium.,mycelium,p5
A hyphal knot forms in the ground.,a hyphal knot,p6
A hyphal knot forms in the ground.,in the ground,
A primordia shoots out of the ground.,a primordia,p7
A primordia shoots out of the ground.,out of the ground,
A primordia shoots out of the ground.,the ground,
A mushroom cap is formed.,a mushroom cap,"p1,p8"
