p1,p2,p3,p4,p5,p6
bees,food,wax,honey,propolis,hives
SENTENCE,PHRASE,REFERENCE
Bees go out during the day and gather food.,bees,p1
Bees go out during the day and gather food.,out,
Bees go out during the day and gather food.,during the day,
Bees go out during the day and gather food.,bees,p1
Bees go out during the day and gather food.,food,p2
"Then while gathering of their food, they make wax, which is the building block of their bee hive.",while gathering of their food,p2
"Then while gathering of their food, they make wax, which is the building block of their bee hive.",they,
"Then while gathering of their food, they make wax, which is the building block of their bee hive.",wax,p3
"Then while gathering of their food, they make wax, which is the building block of their bee hive.",wax,p3
"Then while gathering of their food, they make wax, which is the building block of their bee hive.",the building block of their bee hive,"p1,p6"
Bees make food called honey.,bees,p1
Bees make food called honey.,food called honey,"p2,p4"
Bees make food called honey.,food,p2
Bees make food called honey.,honey,p4
"They use a sticky, glue-like substance called propolis as a binding to hold their hives together.",they,
"They use a sticky, glue-like substance called propolis as a binding to hold their hives together.","a sticky , glue-like substance called propolis",p5
"They use a sticky, glue-like substance called propolis as a binding to hold their hives together.",as a binding to hold their hives together,p6
"They use a sticky, glue-like substance called propolis as a binding to hold their hives together.","a sticky , glue-like substance",
"They use a sticky, glue-like substance called propolis as a binding to hold their hives together.",propolis,p5
"They use a sticky, glue-like substance called propolis as a binding to hold their hives together.",as a binding to hold their hives together,p6
"They use a sticky, glue-like substance called propolis as a binding to hold their hives together.",propolis,p5
"They use a sticky, glue-like substance called propolis as a binding to hold their hives together.",their hives,p6
"They use a sticky, glue-like substance called propolis as a binding to hold their hives together.",together,
Bees produce all of the building blocks to build their hive in their own body.,bees,p1
Bees produce all of the building blocks to build their hive in their own body.,all of the building blocks,
Bees produce all of the building blocks to build their hive in their own body.,to build their hive in their own body,p6
Bees produce all of the building blocks to build their hive in their own body.,bees,p1
Bees produce all of the building blocks to build their hive in their own body.,their hive,p6
Bees produce all of the building blocks to build their hive in their own body.,in their own body,
