p1
carbon dioxide
SENTENCE,PHRASE,REFERENCE
You inhale.,you,
Your diaphragm moves down.,your diaphragm,
Your diaphragm moves down.,down,
Your lungs have more room.,your lungs,
Your lungs have more room.,more room,
Your lungs fill with air.,your lungs,
Your lungs fill with air.,air,
You exhale.,you,
Your diaphragm moves back up.,your diaphragm,
Your diaphragm moves back up.,back up,
Carbon dioxide is exhaled.,carbon dioxide,p1
You start the process over again.,you,
You start the process over again.,the process,
