p1
"high-pitched tone, sound, sound wave, echoed sound"
SENTENCE,PHRASE,REFERENCE
Bats and other animals produce a high-pitched tone.,bats and other animals,
Bats and other animals produce a high-pitched tone.,a high-pitched tone,p1
"The sound travels in waves, as sound does.",sound,p1
"The sound ""bounces"" off of a nearby object.",the sound,p1
"The sound ""bounces"" off of a nearby object.",off of a nearby object,
The sound wave returns to the bat.,the sound wave,p1
The sound wave returns to the bat.,to the bat,
The sound wave returns to the bat.,the bat,
The bat hears the echoed sound.,the bat,
The bat hears the echoed sound.,the echoed sound,p1
The bat hears the echoed sound.,sound,p1
"Folds in the bat's ear and adaptations in the bat's brain enable it to determine the size, shape, and position of the other object via the properties of the returned sound waves.",in the bat 's ear,
"Folds in the bat's ear and adaptations in the bat's brain enable it to determine the size, shape, and position of the other object via the properties of the returned sound waves.",folds in the bat 's ear and adaptations in the bat 's brain,
"Folds in the bat's ear and adaptations in the bat's brain enable it to determine the size, shape, and position of the other object via the properties of the returned sound waves.",it,
"Folds in the bat's ear and adaptations in the bat's brain enable it to determine the size, shape, and position of the other object via the properties of the returned sound waves.","to determine the size , shape , and position of the other object via the properties of the returned sound waves",p1
"Folds in the bat's ear and adaptations in the bat's brain enable it to determine the size, shape, and position of the other object via the properties of the returned sound waves.",it,
"Folds in the bat's ear and adaptations in the bat's brain enable it to determine the size, shape, and position of the other object via the properties of the returned sound waves.","the size , shape , and position of the other object",
"Folds in the bat's ear and adaptations in the bat's brain enable it to determine the size, shape, and position of the other object via the properties of the returned sound waves.",via the properties of the returned sound waves,p1
"Folds in the bat's ear and adaptations in the bat's brain enable it to determine the size, shape, and position of the other object via the properties of the returned sound waves.",sound waves,p1
Other animals use echolocation in generally similar ways.,other animals,
Other animals use echolocation in generally similar ways.,echolocation,
Other animals use echolocation in generally similar ways.,in generally similar ways,
