p1,p2,p3,p4
cracks,pressure,energy,seismic waves
SENTENCE,PHRASE,REFERENCE
The earth develops cracks deep beneath the surface.,the earth,
The earth develops cracks deep beneath the surface.,cracks,p1
The earth develops cracks deep beneath the surface.,deep beneath the surface,
The seismic waves move the earth in an earthquake.,the seismic waves,p4
The seismic waves move the earth in an earthquake.,the earth,
The seismic waves move the earth in an earthquake.,in an earthquake,
The cracks get very long and big in some places.,the cracks,p1
The cracks get very long and big in some places.,very long and big,
The cracks get very long and big in some places.,in some places,
The earth places pressure against the rocks on both sides of the cracks.,the earth,
The earth places pressure against the rocks on both sides of the cracks.,pressure,p2
The earth places pressure against the rocks on both sides of the cracks.,against the rocks on both sides of the cracks,p1
The earth places pressure against the rocks on both sides of the cracks.,the rocks,
The pressure causes the rocks to press against each other very hard.,the pressure,p2
The pressure causes the rocks to press against each other very hard.,the rocks to press against each other very hard,
The pressure causes the rocks to press against each other very hard.,the rocks,
The pressure causes the rocks to press against each other very hard.,against each other,
The pressure causes the rocks to press against each other very hard.,each other,
The cracks continue to develop.,the cracks,p1
The cracks continue to develop.,to develop,
The cracks continue to develop.,the cracks,p1
The earth moves against itself on both sides of the cracks.,the earth,
The earth moves against itself on both sides of the cracks.,against itself,
The earth moves against itself on both sides of the cracks.,itself,
The earth moves against itself on both sides of the cracks.,on both sides of the cracks,p1
The pressure and movement around the cracks causes the rocks to crumble in some places.,the pressure and movement around the cracks,"p1,p2"
The pressure and movement around the cracks causes the rocks to crumble in some places.,the rocks to crumble in some places,
The pressure and movement around the cracks causes the rocks to crumble in some places.,in some places,
The pressure and movement around the cracks causes the rocks to crumble in some places.,the pressure and movement around the cracks,"p1,p2"
The pressure and movement around the cracks causes the rocks to crumble in some places.,the rocks,
The pressure and movement around the cracks causes the rocks to crumble in some places.,in some places,
A lot of energy is released.,a lot of energy,p3
The energy causes seismic waves.,the energy,p3
The energy causes seismic waves.,seismic waves,p4
