p1,p2,p3,p4,p5,p6,p7,p8
rocks,"eroded rock particles, rock particles",layer of sediment,sedimentary rock,metamorphic rock,magma,lava,igneous rock
SENTENCE,PHRASE,REFERENCE
Wind and water cause erosion and weathering to the rocks.,wind and water,
Wind and water cause erosion and weathering to the rocks.,erosion and weathering to the rocks,p1
Wind and water cause erosion and weathering to the rocks.,wind and water,
Wind and water cause erosion and weathering to the rocks.,the rocks,p1
Igneous rock begins being weathered and eroded by water and wind.,igneous rock,"p1,p8"
Igneous rock begins being weathered and eroded by water and wind.,being weathered and eroded by water and wind,
Igneous rock begins being weathered and eroded by water and wind.,igneous rock,"p1,p8"
Igneous rock begins being weathered and eroded by water and wind.,by water and wind,
Igneous rock begins being weathered and eroded by water and wind.,water and wind,
Igneous rock begins being weathered and eroded by water and wind.,igneous rock,"p1,p8"
Igneous rock begins being weathered and eroded by water and wind.,by water and wind,
Igneous rock begins being weathered and eroded by water and wind.,water and wind,
"Eroded rock particles are carried away by wind or by rain, streams, rivers, and oceans.",rock particles,"p1,p2"
"Eroded rock particles are carried away by wind or by rain, streams, rivers, and oceans.",eroded rock particles,"p1,p2"
"Eroded rock particles are carried away by wind or by rain, streams, rivers, and oceans.","away by wind or by rain , streams , rivers , and oceans",
Rock particles sink to the bottom of rivers and oceans creating a layer of sediment.,rock particles,"p1,p2"
Rock particles sink to the bottom of rivers and oceans creating a layer of sediment.,to the bottom of rivers and oceans,
Rock particles sink to the bottom of rivers and oceans creating a layer of sediment.,the bottom of rivers and oceans,
Rock particles sink to the bottom of rivers and oceans creating a layer of sediment.,rock particles,"p1,p2"
Rock particles sink to the bottom of rivers and oceans creating a layer of sediment.,a layer of sediment,p3
Layers of sediment stack up compacting the bottom layers.,layers of sediment,p3
Layers of sediment stack up compacting the bottom layers.,compacting the bottom layers,
Layers of sediment stack up compacting the bottom layers.,layers of sediment,p3
Layers of sediment stack up compacting the bottom layers.,the bottom layers,
Minerals fill in the gaps in the sediment eventuality becoming sedimentary rocks.,minerals,
Minerals fill in the gaps in the sediment eventuality becoming sedimentary rocks.,the gaps,
Minerals fill in the gaps in the sediment eventuality becoming sedimentary rocks.,minerals,
Minerals fill in the gaps in the sediment eventuality becoming sedimentary rocks.,sedimentary rocks,"p1,p4"
Rocks buried deep underground exposed to high heat and pressure become metamorphic rock.,rocks,p1
Rocks buried deep underground exposed to high heat and pressure become metamorphic rock.,deep underground,
Rocks buried deep underground exposed to high heat and pressure become metamorphic rock.,rocks buried deep underground,p1
Rocks buried deep underground exposed to high heat and pressure become metamorphic rock.,high heat and pressure,
Rocks buried deep underground exposed to high heat and pressure become metamorphic rock.,rocks buried deep underground exposed to high heat and pressure,p1
Rocks buried deep underground exposed to high heat and pressure become metamorphic rock.,metamorphic rock,"p1,p5"
Metamorphic rocks underground melt to become magma.,underground,
Metamorphic rocks underground melt to become magma.,to become magma,p6
Metamorphic rocks underground melt to become magma.,become magma,p6
Metamorphic rocks underground melt to become magma.,underground melt,
Metamorphic rocks underground melt to become magma.,magma,p6
Magma flows from volcanoes in the form of lava.,magma,p6
Magma flows from volcanoes in the form of lava.,from volcanoes,
Magma flows from volcanoes in the form of lava.,volcanoes,
Magma flows from volcanoes in the form of lava.,in the form of lava,p7
Lava cools and forms igneous rock.,lava,p7
Lava cools and forms igneous rock.,lava,p7
Lava cools and forms igneous rock.,cools,
Lava cools and forms igneous rock.,igneous rock,"p1,p8"
