p1,p2,p3,p4,p5,p6,p7
energy,water,oxygen,hydrogen,electrons,NADP,NADPH
SENTENCE,PHRASE,REFERENCE
Sunlight hits chloroplasts in the plant.,sunlight,
Sunlight hits chloroplasts in the plant.,chloroplasts,
Sunlight hits chloroplasts in the plant.,in the plant,
The energy from the sunlight causes an enzyme in the plant to break apart the water.,the energy from the sunlight,p1
The energy from the sunlight causes an enzyme in the plant to break apart the water.,an enzyme in the plant to break apart the water,p2
The energy from the sunlight causes an enzyme in the plant to break apart the water.,to break apart the water,p2
The energy from the sunlight causes an enzyme in the plant to break apart the water.,an enzyme in the plant,
The energy from the sunlight causes an enzyme in the plant to break apart the water.,apart the water,p2
"The water breakes into oxygen, hydrogen, and electrons.",the water,p2
"The water breakes into oxygen, hydrogen, and electrons.","oxygen , hydrogen , and electrons","p3,p4,p5"
"Hydrogen, along with electrons energized by light, converts NADP into NADPH.","hydrogen , along with electrons","p4,p5"
"Hydrogen, along with electrons energized by light, converts NADP into NADPH.",by light,
"Hydrogen, along with electrons energized by light, converts NADP into NADPH.",light,
"Hydrogen, along with electrons energized by light, converts NADP into NADPH.","hydrogen , along with electrons energized by light","p4,p5"
"Hydrogen, along with electrons energized by light, converts NADP into NADPH.",nadp,p6
"Hydrogen, along with electrons energized by light, converts NADP into NADPH.",into nadph,p7
Oxygen diffuses out of the plant as a waste product of photosynthesis.,oxygen,p3
Oxygen diffuses out of the plant as a waste product of photosynthesis.,out of the plant,
Oxygen diffuses out of the plant as a waste product of photosynthesis.,the plant,
Oxygen diffuses out of the plant as a waste product of photosynthesis.,as a waste product of photosynthesis,
The energy from the sunlight causes an enzyme in the plant to break apart the water.,the sunlight,
