p1,p2,p3,p4
food,saliva,acid,enzymes
SENTENCE,PHRASE,REFERENCE
Food is taken into the mouth.,food,p1
Food is taken into the mouth.,into the mouth,
Food is taken into the mouth.,the mouth,
The food is expelled from the body.,the food,p1
The food is expelled from the body.,from the body,
The food is expelled from the body.,the body,
The food is chewed.,the food,p1
Saliva mixes with the food and starts breaking it down.,saliva,p2
Saliva mixes with the food and starts breaking it down.,the food,p1
Saliva mixes with the food and starts breaking it down.,saliva,p2
Saliva mixes with the food and starts breaking it down.,breaking it down,
Saliva mixes with the food and starts breaking it down.,saliva,p2
Saliva mixes with the food and starts breaking it down.,it,
The chewed food travels down the esophagus to the stomach.,food,p1
The chewed food travels down the esophagus to the stomach.,the chewed food,p1
The chewed food travels down the esophagus to the stomach.,down the esophagus to the stomach,
The chewed food travels down the esophagus to the stomach.,the esophagus,
The stomach secretes acid.,the stomach,
The stomach secretes acid.,acid,p3
Grinds and mixes the food.,the food,p1
Grinds and mixes the food.,food,p1
Grinds and mixes the food.,the food,p1
The food moves to the small intestine.,the food,p1
The food moves to the small intestine.,to the small intestine,
The food moves to the small intestine.,the small intestine,
The small intestine uses enzymes to further break down the food.,the small intestine,
The small intestine uses enzymes to further break down the food.,enzymes,p4
The small intestine uses enzymes to further break down the food.,to further break down the food,p1
The food passes into the colon.,the food,p1
The food passes into the colon.,into the colon,
The food passes into the colon.,the colon,
