p1,p2,p3,p4
"seed, seeds",plants,flowers,fruit
SENTENCE,PHRASE,REFERENCE
Plants start off as a seed.,plants,p2
Plants start off as a seed.,as a seed,p1
Plants start off as a seed.,a seed,p1
The seed germinates.,the seed,p1
The plant gets nutrition from the environment.,the plant,p2
The plant gets nutrition from the environment.,nutrition,
The plant gets nutrition from the environment.,from the environment,
The plant grows from the nutrients.,the plant,p2
The plant grows from the nutrients.,from the nutrients,
The plant produces flowers.,the plant,p2
The plant produces flowers.,flowers,p3
The flowers produce fruit.,the flowers,p3
The flowers produce fruit.,fruit,p4
The fruit releases seeds.,the fruit,p4
The fruit releases seeds.,seeds,p1
The seeds become new plants.,the seeds,p1
The seeds become new plants.,new plants,p2
The original plant dies at some point.,the original plant,p2
The original plant dies at some point.,at some point,
