p1,p2,p3,p4
blood,clean blood,urine,waste
SENTENCE,PHRASE,REFERENCE
The kidneys receive blood through the renal artery.,the kidneys,
The kidneys receive blood through the renal artery.,blood,p1
The kidneys receive blood through the renal artery.,through the renal artery,
The blood is passed through the nephrons in the kidneys.,the blood,p1
The blood is passed through the nephrons in the kidneys.,through the nephrons in the kidneys,
The blood is passed through the nephrons in the kidneys.,the nephrons in the kidneys,
The kidneys filter the waste from the blood.,the kidneys,
The kidneys filter the waste from the blood.,the waste,p4
The kidneys filter the waste from the blood.,from the blood,p1
The kidneys filter the waste from the blood.,the blood,p1
The clean blood is circulated out of the kidneys.,the clean blood,"p1,p2"
The clean blood is circulated out of the kidneys.,out of the kidneys,
The clean blood is circulated out of the kidneys.,the kidneys,
Excess water and waste is expelled from the kidneys in the form of urine.,excess water and waste,p4
Excess water and waste is expelled from the kidneys in the form of urine.,from the kidneys,
Excess water and waste is expelled from the kidneys in the form of urine.,the kidneys,
Excess water and waste is expelled from the kidneys in the form of urine.,in the form of urine,p3
