p1,p2,p3,p4,p5,p6
food,digested food,enzymes,sugar,one hormone,another hormone
SENTENCE,PHRASE,REFERENCE
Food enters the body.,food,p1
Food enters the body.,the body,
Food begins to be processed by the digestive system.,food,p1
Food begins to be processed by the digestive system.,to be processed by the digestive system,
Food begins to be processed by the digestive system.,food,p1
Food begins to be processed by the digestive system.,by the digestive system,
Food begins to be processed by the digestive system.,the digestive system,
The pancreas releases enzymes to aid digestion.,the pancreas,
The pancreas releases enzymes to aid digestion.,enzymes,p3
The pancreas releases enzymes to aid digestion.,to aid digestion,
The pancreas releases enzymes to aid digestion.,enzymes,p3
The pancreas releases enzymes to aid digestion.,digestion,
Digested food affects the amount of sugar in the blood.,food,p1
Digested food affects the amount of sugar in the blood.,digested food,"p1,p2"
Digested food affects the amount of sugar in the blood.,the amount of sugar in the blood,p4
The pancreas releases one hormone to lower the blood sugar (glucose) level.,the pancreas,
The pancreas releases one hormone to lower the blood sugar (glucose) level.,one hormone,p5
The pancreas releases one hormone to lower the blood sugar (glucose) level.,to lower the blood sugar ( glucose ) level,p4
The pancreas releases one hormone to lower the blood sugar (glucose) level.,the pancreas,
The pancreas releases one hormone to lower the blood sugar (glucose) level.,the blood sugar ( glucose ) level,p4
The pancreas releases another hormone to raisethe blood sugar (glucose) level.,the pancreas,
The pancreas releases another hormone to raisethe blood sugar (glucose) level.,another hormone,p6
The pancreas releases another hormone to raisethe blood sugar (glucose) level.,to raisethe blood sugar ( glucose ) level,p4
