p1,p2,p3,p4,p5
"egg, eggs",larvae,caterpillar,pupa,butterfly
SENTENCE,PHRASE,REFERENCE
A butterfly lays an egg.,a butterfly,p5
A butterfly lays an egg.,an egg,p1
A larvae matures inside of the egg.,a larvae,p2
A larvae matures inside of the egg.,inside of the egg,p1
The caterpillar hatches from the egg.,the caterpillar,p3
The caterpillar hatches from the egg.,from the egg,p1
The caterpillar hatches from the egg.,the egg,p1
The caterpillar eats and grows.,the caterpillar,p3
The caterpillar eats and grows.,the caterpillar,p3
The caterpillar spins a coccoon around itself and forms into a pupa.,the caterpillar,p3
The caterpillar spins a coccoon around itself and forms into a pupa.,a coccoon,
The caterpillar spins a coccoon around itself and forms into a pupa.,around itself,
The caterpillar spins a coccoon around itself and forms into a pupa.,the caterpillar,p3
The caterpillar spins a coccoon around itself and forms into a pupa.,into a pupa,p4
The caterpillar spins a coccoon around itself and forms into a pupa.,a pupa,p4
The butterfly forms inside of the coccoon.,the butterfly,p5
The butterfly forms inside of the coccoon.,inside of the coccoon,
The mature butterfly emerges from the coccoon.,the mature butterfly,p5
The mature butterfly emerges from the coccoon.,from the coccoon,
The mature butterfly emerges from the coccoon.,the coccoon,
The butterfly mates.,the butterfly,p5
The female butterfly lays eggs.,the female butterfly,p5
The female butterfly lays eggs.,eggs,p1
