p1,p2,p3,p4
aluminum,"minerals, nutrients","plants, animals",foliage
SENTENCE,PHRASE,REFERENCE
Acid rain leaches aluminum from clay particles in soil.,acid rain,
Acid rain leaches aluminum from clay particles in soil.,aluminum,p1
Acid rain leaches aluminum from clay particles in soil.,from clay particles,
Acid rain leaches aluminum from clay particles in soil.,clay particles,
Aluminum flows into streams and lakes.,aluminum,p1
Aluminum flows into streams and lakes.,into streams and lakes,
Aluminum flows into streams and lakes.,streams and lakes,
Acid rain dissolves minerals and nutrients in soil.,acid rain,
Acid rain dissolves minerals and nutrients in soil.,minerals and nutrients,p2
Acid rain dissolves minerals and nutrients in soil.,in soil,
Washes them away so plants can't benefit from them.,them,
Washes them away so plants can't benefit from them.,away,
Washes them away so plants can't benefit from them.,so plants ca n't benefit from them,p3
Washes them away so plants can't benefit from them.,plants,p3
Washes them away so plants can't benefit from them.,them,
PH in soil and water gets affected which can kill plants and animals.,water,
PH in soil and water gets affected which can kill plants and animals.,affected,
PH in soil and water gets affected which can kill plants and animals.,ph in soil and water,
PH in soil and water gets affected which can kill plants and animals.,ph in soil and water gets affected,
PH in soil and water gets affected which can kill plants and animals.,plants and animals,p3
Acid rain in fog at higher elevations can strip foliage off trees.,acid rain,
Acid rain in fog at higher elevations can strip foliage off trees.,foliage,p4
Acid rain in fog at higher elevations can strip foliage off trees.,off trees,
Acid rain in fog at higher elevations can strip foliage off trees.,trees,
