p1,p2,p3,p4,p5
larva,caterpillar,cocoon,pupa,butterfly
SENTENCE,PHRASE,REFERENCE
A larva is born.,a larva,p1
The caterpillar eats constantly until it grows bigger.,the caterpillar,p2
The caterpillar eats constantly until it grows bigger.,constantly,
The caterpillar eats constantly until it grows bigger.,until it grows bigger,
The caterpillar eats constantly until it grows bigger.,the caterpillar,p2
The caterpillar eats constantly until it grows bigger.,it,
The caterpillar eats constantly until it grows bigger.,bigger,
The caterpillar starts to form a cocoon around itself.,the caterpillar,p2
The caterpillar starts to form a cocoon around itself.,to form a cocoon around itself,p3
The caterpillar starts to form a cocoon around itself.,the caterpillar,p2
The caterpillar starts to form a cocoon around itself.,a cocoon,p3
The caterpillar starts to form a cocoon around itself.,around itself,
The caterpillar becomes a pupa.,the caterpillar,p2
The caterpillar becomes a pupa.,a pupa,p4
After some time the cocoon hatches.,after some time,
After some time the cocoon hatches.,the cocoon,p3
And a butterfly is born.,a butterfly,p5
