p1,p2,p3,p4,p5
Solution caves,carbon dioxide,weak carbonic acid solution,calcite,solution cavities
SENTENCE,PHRASE,REFERENCE
Solution caves are formed in limestone and similar rocks by the action of water.,solution caves,p1
Solution caves are formed in limestone and similar rocks by the action of water.,in limestone and similar rocks,
Solution caves are formed in limestone and similar rocks by the action of water.,limestone and similar rocks,
Solution caves are formed in limestone and similar rocks by the action of water.,the action of water,
"After a rain, water seeps into cracks and pores of soil and rock.",after a rain,
"After a rain, water seeps into cracks and pores of soil and rock.",water,
"After a rain, water seeps into cracks and pores of soil and rock.",into cracks and pores of soil and rock,
"After a rain, water seeps into cracks and pores of soil and rock.",cracks and pores of soil and rock,
"After a rain, water seeps into cracks and pores of soil and rock.",after a rain,
"After a rain, water seeps into cracks and pores of soil and rock.",water,
"After a rain, water seeps into cracks and pores of soil and rock.",soil and rock,
The water percolates beneath the land surface.,the water,
The water percolates beneath the land surface.,beneath the land surface,
Some of the water reaches a zone where all the cracks and pores in the rock are already filled with water.,some of the water,
Some of the water reaches a zone where all the cracks and pores in the rock are already filled with water.,a zone,
Some of the water reaches a zone where all the cracks and pores in the rock are already filled with water.,in the rock,
Some of the water reaches a zone where all the cracks and pores in the rock are already filled with water.,the rock,
Some of the water reaches a zone where all the cracks and pores in the rock are already filled with water.,all the cracks and pores in the rock,
Some of the water reaches a zone where all the cracks and pores in the rock are already filled with water.,water,
Rainwater absorbs some carbon dioxide as it passes through the atmosphere and even more as it drains through soil and decaying vegetation.,rainwater,
Rainwater absorbs some carbon dioxide as it passes through the atmosphere and even more as it drains through soil and decaying vegetation.,some carbon dioxide,p2
Rainwater absorbs some carbon dioxide as it passes through the atmosphere and even more as it drains through soil and decaying vegetation.,as it passes through the atmosphere and even more as it drains through soil and decaying vegetation,
Rainwater absorbs some carbon dioxide as it passes through the atmosphere and even more as it drains through soil and decaying vegetation.,carbon dioxide,p2
Rainwater absorbs some carbon dioxide as it passes through the atmosphere and even more as it drains through soil and decaying vegetation.,through the atmosphere,
Rainwater absorbs some carbon dioxide as it passes through the atmosphere and even more as it drains through soil and decaying vegetation.,the atmosphere,
Rainwater absorbs some carbon dioxide as it passes through the atmosphere and even more as it drains through soil and decaying vegetation.,rainwater,
Rainwater absorbs some carbon dioxide as it passes through the atmosphere and even more as it drains through soil and decaying vegetation.,through soil and decaying vegetation,
Rainwater absorbs some carbon dioxide as it passes through the atmosphere and even more as it drains through soil and decaying vegetation.,soil and decaying vegetation,
Rainwater absorbs some carbon dioxide as it passes through the atmosphere and even more as it drains through soil and decaying vegetation.,vegetation,
The water combines chemically with the carbon dioxide.,the water,
The water combines chemically with the carbon dioxide.,chemically,
The water combines chemically with the carbon dioxide.,the carbon dioxide,p2
A weak carbonic acid solution is formed.,a weak carbonic acid solution,p3
"This acid slowly dissolves calcite, forms solution cavities, and excavates passageways.",this acid,
"This acid slowly dissolves calcite, forms solution cavities, and excavates passageways.",slowly,
"This acid slowly dissolves calcite, forms solution cavities, and excavates passageways.",calcite,p4
"This acid slowly dissolves calcite, forms solution cavities, and excavates passageways.",this acid,
"This acid slowly dissolves calcite, forms solution cavities, and excavates passageways.",solution cavities,p5
"This acid slowly dissolves calcite, forms solution cavities, and excavates passageways.",this acid,
"This acid slowly dissolves calcite, forms solution cavities, and excavates passageways.",passageways,
