p1,p2,p3,p4,p5,p6
carbon dioxide,"sun's energy, this energy",water,hydrogen,oxygen,glucose
SENTENCE,PHRASE,REFERENCE
Carbon dioxide from the air passes through small pores (holes) in the leaves. These pores are called stomata.,carbon dioxide from the air,p1
Carbon dioxide from the air passes through small pores (holes) in the leaves. These pores are called stomata.,through small pores ( holes ) in the leaves,
Carbon dioxide from the air passes through small pores (holes) in the leaves. These pores are called stomata.,small pores,
Carbon dioxide from the air passes through small pores (holes) in the leaves. These pores are called stomata.,stomata,
Carbon dioxide from the air passes through small pores (holes) in the leaves. These pores are called stomata.,these pores,
Carbon dioxide from the air passes through small pores (holes) in the leaves. These pores are called stomata.,stomata,
Carbon dioxide from the air passes through small pores (holes) in the leaves. These pores are called stomata.,these pores,
Carbon dioxide from the air passes through small pores (holes) in the leaves. These pores are called stomata.,stomata,
Water is absorbed by the roots and passes through vessels in the stem on its way to the leaves.,water,p3
Water is absorbed by the roots and passes through vessels in the stem on its way to the leaves.,by the roots,
Water is absorbed by the roots and passes through vessels in the stem on its way to the leaves.,the roots,
Water is absorbed by the roots and passes through vessels in the stem on its way to the leaves.,water,p3
Water is absorbed by the roots and passes through vessels in the stem on its way to the leaves.,through vessels in the stem,
Water is absorbed by the roots and passes through vessels in the stem on its way to the leaves.,vessels,
Water is absorbed by the roots and passes through vessels in the stem on its way to the leaves.,on its way to the leaves,
Chlorophyll absorbs the sun's energy.,chlorophyll,
Chlorophyll absorbs the sun's energy.,the sun 's energy,p2
It is this energy that is used to split water molecules into hydrogen and oxygen.,it,
It is this energy that is used to split water molecules into hydrogen and oxygen.,this energy,p2
It is this energy that is used to split water molecules into hydrogen and oxygen.,this energy,p2
It is this energy that is used to split water molecules into hydrogen and oxygen.,energy,
It is this energy that is used to split water molecules into hydrogen and oxygen.,to split water molecules into hydrogen and oxygen,"p3,p4,p5"
It is this energy that is used to split water molecules into hydrogen and oxygen.,split water molecules into hydrogen and oxygen,"p3,p4,p5"
It is this energy that is used to split water molecules into hydrogen and oxygen.,this energy,p2
It is this energy that is used to split water molecules into hydrogen and oxygen.,water molecules,p3
It is this energy that is used to split water molecules into hydrogen and oxygen.,hydrogen and oxygen,"p4,p5"
Oxygen is released from the leaves into the atmosphere.,oxygen,p5
Oxygen is released from the leaves into the atmosphere.,from the leaves,
Oxygen is released from the leaves into the atmosphere.,the leaves,
Oxygen is released from the leaves into the atmosphere.,into the atmosphere,
Hydrogen and carbon dioxide are used to form glucose or food for plants.,hydrogen and carbon dioxide,"p1,p4"
Hydrogen and carbon dioxide are used to form glucose or food for plants.,to form glucose or food for plants,p6
Hydrogen and carbon dioxide are used to form glucose or food for plants.,form glucose or food for plants,p6
Hydrogen and carbon dioxide are used to form glucose or food for plants.,hydrogen and carbon dioxide,"p1,p4"
Hydrogen and carbon dioxide are used to form glucose or food for plants.,glucose or food,p6
Hydrogen and carbon dioxide are used to form glucose or food for plants.,for plants,
Hydrogen and carbon dioxide are used to form glucose or food for plants.,plants,
Carbon dioxide from the air passes through small pores (holes) in the leaves. These pores are called stomata.,air,
