p1,p2,p3,p4,p5
writing utensil,piece of paper,letter,envelope,stamp
SENTENCE,PHRASE,REFERENCE
You gather a writing utensil and a piece of paper.,you,
You gather a writing utensil and a piece of paper.,a writing utensil and a piece of paper,"p1,p2"
You gather a writing utensil and a piece of paper.,utensil,
You use the writing utensil to compose your letter on the paper.,you,
You use the writing utensil to compose your letter on the paper.,the writing utensil,p1
You use the writing utensil to compose your letter on the paper.,to compose your letter on the paper,p3
You use the writing utensil to compose your letter on the paper.,you,
You use the writing utensil to compose your letter on the paper.,utensil,
You use the writing utensil to compose your letter on the paper.,to compose your letter on the paper,p3
You use the writing utensil to compose your letter on the paper.,you,
You use the writing utensil to compose your letter on the paper.,the writing utensil,p1
You use the writing utensil to compose your letter on the paper.,your letter,p3
You use the writing utensil to compose your letter on the paper.,on the paper,
You fold the paper.,you,
You fold the paper.,the paper,
Place it into an envelope.,it,
Place it into an envelope.,into an envelope,p4
Place it into an envelope.,an envelope,p4
You write the address of the recipient on the outside of the envelope.,you,
You write the address of the recipient on the outside of the envelope.,the address of the recipient,
You write the address of the recipient on the outside of the envelope.,on the outside of the envelope,p4
You seal the envelope with moisture or tape.,you,
You seal the envelope with moisture or tape.,the envelope,p4
You seal the envelope with moisture or tape.,with moisture or tape,
You seal the envelope with moisture or tape.,moisture or tape,
You apply a stamp to the outside of the envelope.,you,
You apply a stamp to the outside of the envelope.,a stamp,p5
You apply a stamp to the outside of the envelope.,to the outside of the envelope,p4
You apply a stamp to the outside of the envelope.,the outside of the envelope,p4
You put the envelope in a mailbox for a letter carrier to collect.,you,
You put the envelope in a mailbox for a letter carrier to collect.,the envelope,p4
You put the envelope in a mailbox for a letter carrier to collect.,in a mailbox,
You put the envelope in a mailbox for a letter carrier to collect.,for a letter carrier,p3
You put the envelope in a mailbox for a letter carrier to collect.,the envelope,p4
You put the envelope in a mailbox for a letter carrier to collect.,a letter carrier,p3
The letter carrier takes the envelope to the correct address.,the letter carrier,p3
The letter carrier takes the envelope to the correct address.,the envelope,p4
The letter carrier takes the envelope to the correct address.,to the correct address,
The letter carrier takes the envelope to the correct address.,the correct address,
