p1,p2
warm water,ice cubes
SENTENCE,PHRASE,REFERENCE
You find an empty ice cube tray.,you,
You find an empty ice cube tray.,an empty ice cube tray,p2
You fill the tray with warm water.,you,
You fill the tray with warm water.,the tray,
You fill the tray with warm water.,with warm water,p1
You fill the tray with warm water.,warm water,p1
"You carefully place the tray on an even surface in a freezer that is at least 32 degree Farhenheit, the freezing point of water.",you,
"You carefully place the tray on an even surface in a freezer that is at least 32 degree Farhenheit, the freezing point of water.",carefully,
"You carefully place the tray on an even surface in a freezer that is at least 32 degree Farhenheit, the freezing point of water.",the tray,
"You carefully place the tray on an even surface in a freezer that is at least 32 degree Farhenheit, the freezing point of water.",on an even surface,
"You carefully place the tray on an even surface in a freezer that is at least 32 degree Farhenheit, the freezing point of water.",a freezer,
"You carefully place the tray on an even surface in a freezer that is at least 32 degree Farhenheit, the freezing point of water.",at least 32 degree farhenheit,
The water begins to get colder until it starts to freeze solid.,the water,
The water begins to get colder until it starts to freeze solid.,to get colder,
The water begins to get colder until it starts to freeze solid.,until it starts to freeze solid,
The water begins to get colder until it starts to freeze solid.,the water,
The water begins to get colder until it starts to freeze solid.,colder,
The water begins to get colder until it starts to freeze solid.,until it starts to freeze solid,
The water begins to get colder until it starts to freeze solid.,the water,
The water begins to get colder until it starts to freeze solid.,to freeze solid,
The water begins to get colder until it starts to freeze solid.,the water,
The water begins to get colder until it starts to freeze solid.,solid,
"The water expands as it freezes, one of the few liquids that has greater volume as a solid.",the water,
"The water expands as it freezes, one of the few liquids that has greater volume as a solid.",as it freezes,
"The water expands as it freezes, one of the few liquids that has greater volume as a solid.",the water,
"The water expands as it freezes, one of the few liquids that has greater volume as a solid.",one of the few liquids,
"The water expands as it freezes, one of the few liquids that has greater volume as a solid.",greater volume as a solid,
"The water expands as it freezes, one of the few liquids that has greater volume as a solid.",as a solid,
"Because you used warm water, the gasses in the water had evaporated out, so you will have nice clear ice cubes without cracks from the trapped gasses.",you,
"Because you used warm water, the gasses in the water had evaporated out, so you will have nice clear ice cubes without cracks from the trapped gasses.",warm water,p1
"Because you used warm water, the gasses in the water had evaporated out, so you will have nice clear ice cubes without cracks from the trapped gasses.",because you used warm water,p1
"Because you used warm water, the gasses in the water had evaporated out, so you will have nice clear ice cubes without cracks from the trapped gasses.",the gasses in the water,
"Because you used warm water, the gasses in the water had evaporated out, so you will have nice clear ice cubes without cracks from the trapped gasses.",you,
"Because you used warm water, the gasses in the water had evaporated out, so you will have nice clear ice cubes without cracks from the trapped gasses.",nice clear ice cubes without cracks from the trapped gasses,p2
"Because you used warm water, the gasses in the water had evaporated out, so you will have nice clear ice cubes without cracks from the trapped gasses.",gasses,
