p1,p2,p3,p4
items,small parts,raw parts,new items
SENTENCE,PHRASE,REFERENCE
Items that can be reused are placed into recycling containers.,items,p1
Items that can be reused are placed into recycling containers.,items that can be reused,p1
Items that can be reused are placed into recycling containers.,into recycling containers,
Items that can be reused are placed into recycling containers.,recycling containers,
Items that can be reused are placed into recycling containers.,containers,
Recycling trucks pick up the items that are able to be reused.,trucks,
Recycling trucks pick up the items that are able to be reused.,recycling trucks,
Recycling trucks pick up the items that are able to be reused.,the items that are able to be reused,p1
Recycling trucks pick up the items that are able to be reused.,the items,p1
Recycling trucks pick up the items that are able to be reused.,able to be reused,
Recycling trucks pick up the items that are able to be reused.,the items,p1
The recyclable items travel to a recycling plant.,the recyclable items,p1
The recyclable items travel to a recycling plant.,to a recycling plant,
The recyclable items travel to a recycling plant.,a recycling plant,
The items are sorted by what they are made of.,the items,p1
The items are sorted by what they are made of.,by what they are made of,
The items are sorted by what they are made of.,what they are made of,
The items are sorted by what they are made of.,the items,p1
The items are broken down into small parts.,the items,p1
The items are broken down into small parts.,into small parts,p2
The items are broken down into small parts.,small parts,p2
The small parts are melted to make new raw parts.,the small parts,p2
The small parts are melted to make new raw parts.,to make new raw parts,p3
The small parts are melted to make new raw parts.,the small parts are melted,p2
The small parts are melted to make new raw parts.,new raw parts,p3
The raw parts are sold to manufactures to make new items.,the raw parts,p3
The raw parts are sold to manufactures to make new items.,to manufactures,
The raw parts are sold to manufactures to make new items.,manufactures,
The raw parts are sold to manufactures to make new items.,to make new items,"p1,p4"
The raw parts are sold to manufactures to make new items.,the raw parts,p3
The raw parts are sold to manufactures to make new items.,to make new items,"p1,p4"
The raw parts are sold to manufactures to make new items.,the raw parts,p3
The raw parts are sold to manufactures to make new items.,new items,"p1,p4"
