p1,p2,p3,p4,p5
insulin,glucose,glucagon,stored glycogen,glucose
SENTENCE,PHRASE,REFERENCE
Blood sugar levels increase after a meal.,blood sugar levels,
Blood sugar levels increase after a meal.,after a meal,
Blood sugar goes back to normal.,blood sugar,
Blood sugar goes back to normal.,back to normal,
Cells in the pancreas release insulin.,cells in the pancreas,
Cells in the pancreas release insulin.,in the pancreas,
Cells in the pancreas release insulin.,insulin,p1
Insulin causes the body to absorb glucose from the blood.,insulin,p1
Insulin causes the body to absorb glucose from the blood.,the body to absorb glucose from the blood,"p2,p5"
Insulin causes the body to absorb glucose from the blood.,the body,
Insulin causes the body to absorb glucose from the blood.,glucose,"p2,p5"
Insulin causes the body to absorb glucose from the blood.,from the blood,
Insulin causes the body to absorb glucose from the blood.,the blood,
Blood sugar goes back to normal.,blood sugar,
Blood sugar goes back to normal.,back to normal,
Blood sugar is too low.,blood sugar,
Blood sugar is too low.,too low,
The amount of insulin goes down.,the amount of insulin,p1
The amount of insulin goes down.,down,
Cells in the pancreas release glucagon.,cells in the pancreas,
Cells in the pancreas release glucagon.,in the pancreas,
Cells in the pancreas release glucagon.,glucagon,p3
The liver turns stored glycogen into glucose.,the liver,
The liver turns stored glycogen into glucose.,stored glycogen,p4
The liver turns stored glycogen into glucose.,into glucose,"p2,p5"
The liver turns stored glycogen into glucose.,glycogen,
The liver turns stored glycogen into glucose.,glucose,"p2,p5"
The liver releases the glucose into the blood.,the liver,
The liver releases the glucose into the blood.,the glucose,"p2,p5"
The liver releases the glucose into the blood.,into the blood,
The liver releases the glucose into the blood.,the blood,
