p1,p2,p3,p4,p5,p6
plates,force,crust,energy,waves,earthquake
SENTENCE,PHRASE,REFERENCE
Plates on the Earth's crust move slowly past each other.,plates on the earth 's crust,"p1,p3"
Plates on the Earth's crust move slowly past each other.,slowly past each other,
Plates on the Earth's crust move slowly past each other.,past each other,
"As the plates move, they exert a great force.",the plates,p1
"As the plates move, they exert a great force.",as the plates move,p1
"As the plates move, they exert a great force.",the plates,p1
"As the plates move, they exert a great force.",a great force,p2
"When the force is large enough, the crust breaks.",the force,p2
"When the force is large enough, the crust breaks.",large enough,
The stress is released as energy.,the stress,
The stress is released as energy.,as energy,p4
The stress is released as energy.,energy,p4
The energy moves through the Earth in the form of waves.,the energy,p4
The energy moves through the Earth in the form of waves.,through the earth,
The energy moves through the Earth in the form of waves.,the earth,
The energy moves through the Earth in the form of waves.,in the form of waves,p5
We feel the earthquake.,we,
We feel the earthquake.,the earthquake,p6
