p1,p2,p3,p4,p5
lungs,air,oxygen,vocal chords,person
SENTENCE,PHRASE,REFERENCE
Air is pulled into the lungs.,air,p2
Air is pulled into the lungs.,into the lungs,p1
Air is pulled into the lungs.,the lungs,p1
Oxygen moves from the lungs into the bloodstream.,oxygen,p3
Oxygen moves from the lungs into the bloodstream.,from the lungs into the bloodstream,p1
Oxygen moves from the lungs into the bloodstream.,the lungs,p1
Oxygen moves from the lungs into the bloodstream.,into the bloodstream,
Air is pushed through the vocal chords.,air,p2
Air is pushed through the vocal chords.,through the vocal chords,p4
Air is pushed through the vocal chords.,the vocal chords,p4
A person talks.,a person,p5
Other air is pushed out of the lungs into the environment.,other air,p2
Other air is pushed out of the lungs into the environment.,into the environment,
Other air is pushed out of the lungs into the environment.,the lungs,p1
