p1,p2,p3,p4
coal,"smaller material, coal particles",water,steam
SENTENCE,PHRASE,REFERENCE
A type of coal must be chosen before the heating can start.,a type of coal,p1
A type of coal must be chosen before the heating can start.,before the heating can start,
A type of coal must be chosen before the heating can start.,the heating,
The coal is broken down to a smaller material.,the coal,p1
The coal is broken down to a smaller material.,down to a smaller material,p2
The coal is broken down to a smaller material.,a smaller material,p2
The coal particles mix with hot air and move in to a boiler.,the coal particles,"p1,p2"
The coal particles mix with hot air and move in to a boiler.,hot air,
Water in the boiler is pumped and produces steam with the coal.,water in the boiler,p3
Water in the boiler is pumped and produces steam with the coal.,in the boiler,
Water in the boiler is pumped and produces steam with the coal.,water in the boiler,p3
Water in the boiler is pumped and produces steam with the coal.,in the boiler,
Water in the boiler is pumped and produces steam with the coal.,steam,p4
Water in the boiler is pumped and produces steam with the coal.,with the coal,p1
Water in the boiler is pumped and produces steam with the coal.,the coal,p1
"Steam powers turbine blades, which magnetically charge wire coals.",turbine blades,
"Steam powers turbine blades, which magnetically charge wire coals.",magnetically,
"Steam powers turbine blades, which magnetically charge wire coals.",wire coals,p1
The water returns back in to its chamber and the process is repeated.,the water,p3
The water returns back in to its chamber and the process is repeated.,back in to its chamber,
The water returns back in to its chamber and the process is repeated.,the process,
