p1,p2,p3,p4,p5,p6,p7
warm water,low pressure air,warm air,clouds,wind,moisture,swirling air
SENTENCE,PHRASE,REFERENCE
Warm water floats up from the ocean.,warm water,p1
Warm water floats up from the ocean.,up from the ocean,
Warm water floats up from the ocean.,the ocean,
A pocket of low pressure air is created near the surface of the ocean.,a pocket of low pressure air,p2
A pocket of low pressure air is created near the surface of the ocean.,near the surface of the ocean,
Warm air from outside areas pushes into the low pressure area.,warm air from outside areas,p3
Warm air from outside areas pushes into the low pressure area.,into the low pressure area,
Warm air from outside areas pushes into the low pressure area.,the low pressure area,
The warm air keeps rising and forms clouds.,the warm air,p3
The warm air keeps rising and forms clouds.,rising,
The warm air keeps rising and forms clouds.,the warm air,p3
The warm air keeps rising and forms clouds.,the warm air,p3
The warm air keeps rising and forms clouds.,clouds,p4
The wind is getting fed moisture that evaporates from the ocean.,the wind,p5
The wind is getting fed moisture that evaporates from the ocean.,fed moisture that evaporates from the ocean,p6
The wind is getting fed moisture that evaporates from the ocean.,the wind,p5
The wind is getting fed moisture that evaporates from the ocean.,moisture,p6
The wind is getting fed moisture that evaporates from the ocean.,from the ocean,
The wind is getting fed moisture that evaporates from the ocean.,the ocean,
This moisture causes the swirling air and clouds to grow bigger.,this moisture,p6
This moisture causes the swirling air and clouds to grow bigger.,the swirling air and clouds to grow bigger,"p4,p7"
This moisture causes the swirling air and clouds to grow bigger.,air and clouds,p4
This moisture causes the swirling air and clouds to grow bigger.,the swirling air and clouds,"p4,p7"
This moisture causes the swirling air and clouds to grow bigger.,bigger,
As it gets bigger the wind rotates faster.,it,
As it gets bigger the wind rotates faster.,bigger,
As it gets bigger the wind rotates faster.,the wind,p5
As it gets bigger the wind rotates faster.,faster,
Warm air from outside areas pushes into the low pressure area.,outside areas,
