p1,p2,p3,p4
non dominate foot,other foot,both feet,skateboard
SENTENCE,PHRASE,REFERENCE,
Place your non dominate foot on the front of the skateboard.,your non dominate foot,p1,
Place your non dominate foot on the front of the skateboard.,on the front of the skateboard,p4,
Place your non dominate foot on the front of the skateboard.,foot,p1,
Place your non dominate foot on the front of the skateboard.,on the front of the skateboard,p4,
Push off with your other foot on the ground.,with your other foot on the ground,p2,
Push off with your other foot on the ground.,your other foot,p2,
Push off with your other foot on the ground.,on the ground,,
Keep pushing with your dominate leg.,pushing with your dominate leg,p2,
Keep pushing with your dominate leg.,with your dominate leg,p2,
Keep pushing with your dominate leg.,your dominate leg,p2,
Keep pushing with your dominate leg.,leg,p2,
When comfortable put both feet on the skateboard.,comfortable,,
When comfortable put both feet on the skateboard.,both feet,"p1,p2,p3",
When comfortable put both feet on the skateboard.,on the skateboard,p4,
Balance your body as you roll on the skateboard.,your body,,
Balance your body as you roll on the skateboard.,as you roll on the skateboard,p4,
Balance your body as you roll on the skateboard.,on the skateboard,p4,
Balance your body as you roll on the skateboard.,you,,
Balance your body as you roll on the skateboard.,on the skateboard,p4,
Balance your body as you roll on the skateboard.,the skateboard,p4,
