p1,p2,p3,p4,p5
egg,"larva, caterpillar",pupa,butterfly,blood
SENTENCE,PHRASE,REFERENCE
EGG.,EGG.,p1
TH EBUTTERLFY IS FIANLLY ABLE TO FLY AWAY.,th ebutterlfy,
TH EBUTTERLFY IS FIANLLY ABLE TO FLY AWAY.,fianlly,
TH EBUTTERLFY IS FIANLLY ABLE TO FLY AWAY.,th ebutterlfy,
TH EBUTTERLFY IS FIANLLY ABLE TO FLY AWAY.,away,
ITS LAID ON A LEAF OR PLANT.,on a leaf or plant,
ITS LAID ON A LEAF OR PLANT.,a leaf or plant,
THE EGG HATCHES.,the egg,p1
THE LARVA COMES OUT(CATERPILLAR).,the larva,p2
THE LARVA COMES OUT(CATERPILLAR).,out,
IT BEGINS TO EAT ON THE LEAF THAT IS WAS BORN ON.,it,
IT BEGINS TO EAT ON THE LEAF THAT IS WAS BORN ON.,to eat,
IT BEGINS TO EAT ON THE LEAF THAT IS WAS BORN ON.,it,
IT BEGINS TO EAT ON THE LEAF THAT IS WAS BORN ON.,the leaf,
IT BEGINS TO EAT ON THE LEAF THAT IS WAS BORN ON.,the leaf,
CONTINUES TO EAT TO GROW QUICKLY.,to eat,
CONTINUES TO EAT TO GROW QUICKLY.,grow quickly,
CONTINUES TO EAT TO GROW QUICKLY.,to grow quickly,
AFTER ITS GROWN TO FULL LENGHT IT FORMS INTO A PUPA.,it,
AFTER ITS GROWN TO FULL LENGHT IT FORMS INTO A PUPA.,into a pupa,p3
AFTER ITS GROWN TO FULL LENGHT IT FORMS INTO A PUPA.,a pupa,p3
UNDERGOES METAMORPHOSIS TO BECOME BUTTERFLY.,metamorphosis,
UNDERGOES METAMORPHOSIS TO BECOME BUTTERFLY.,to become butterfly,p4
UNDERGOES METAMORPHOSIS TO BECOME BUTTERFLY.,butterfly,p4
AFTER HE BUTTERFLY IS FOMED IT PUMPS BLOOD INTO ITS WINGS TO GAIN STRENGHT TO BE ABLE TO FLY.,he butterfly,p4
AFTER HE BUTTERFLY IS FOMED IT PUMPS BLOOD INTO ITS WINGS TO GAIN STRENGHT TO BE ABLE TO FLY.,fomed,
AFTER HE BUTTERFLY IS FOMED IT PUMPS BLOOD INTO ITS WINGS TO GAIN STRENGHT TO BE ABLE TO FLY.,able to fly,
