p1,p2,p3,p4
aluminum,molten aluminum,ingots,new aluminum products
SENTENCE,PHRASE,REFERENCE,
The consumer throws aluminum cans and foil into a recycle bin.,the consumer,,
The consumer throws aluminum cans and foil into a recycle bin.,aluminum cans and foil,p1,
The consumer throws aluminum cans and foil into a recycle bin.,into a recycle bin,,
The consumer throws aluminum cans and foil into a recycle bin.,a recycle bin,,
The consumer throws aluminum cans and foil into a recycle bin.,bin,,
The aluminum is collected.,the aluminum,p1,
Taken to a treatment plant.,to a treatment plant,,
Taken to a treatment plant.,a treatment plant,,
The aluminum is sorted and cleaned ready for reprocessing.,the aluminum,p1,
The aluminum is sorted and cleaned ready for reprocessing.,the aluminum,p1,
The aluminum is sorted and cleaned ready for reprocessing.,ready for reprocessing,,
The aluminum is sorted and cleaned ready for reprocessing.,the aluminum,p1,
The aluminum is re-melted.,the aluminum,p1,
The aluminum is re-melted.,re-melted,,
Turned into molten aluminum.,molten aluminum,p2,
The aluminum is made into large blocks called ingots.,the aluminum,p2,
The aluminum is made into large blocks called ingots.,into large blocks called ingots,p3,
The aluminum is made into large blocks called ingots.,large blocks called ingots,p3,
The aluminum is made into large blocks called ingots.,large blocks,p3,
The aluminum is made into large blocks called ingots.,ingots,p3,
The ingots are sent to mills to be rolled out.,the ingots,p3,
The ingots are sent to mills to be rolled out.,to mills,,
The ingots are sent to mills to be rolled out.,mills,,
The ingots are sent to mills to be rolled out.,to be rolled out,,
The ingots are sent to mills to be rolled out.,the ingots,p3,
The rolled out product is made into new aluminum products.,product,p3,
The rolled out product is made into new aluminum products.,the rolled out product,p3,
The rolled out product is made into new aluminum products.,new aluminum products,p4,
