p1,p2,p3,p4,p5,p6,p7,p8
frog eggs,tadpole,gills,hind legs,front legs,tail,mouth,frog
SENTENCE,PHRASE,REFERENCE,,,,,
The frog eggs hatch.,the frog eggs,p1,,,,,
The tadpole breaks free.,the tadpole,p2,,,,,
The tadpole breaks free.,free,,,,,,
"Slowly, the gills disappear over the next 6 weeks.",slowly,,,,,,
"Slowly, the gills disappear over the next 6 weeks.",the gills,p3,,,,,
"Slowly, the gills disappear over the next 6 weeks.",over the next 6 weeks,,,,,,
The hind legs begin to form at 8 weeks.,the hind legs,p4,,,,,
The hind legs begin to form at 8 weeks.,to form,,,,,,
The hind legs begin to form at 8 weeks.,at 8 weeks,,,,,,
The hind legs begin to form at 8 weeks.,the hind legs,p4,,,,,
The hind legs begin to form at 8 weeks.,at 8 weeks,,,,,,
The front legs form at 12 weeks.,the front legs,p5,,,,,
The front legs form at 12 weeks.,at 12 weeks,,,,,,
The tail shrinks.,the tail,p6,,,,,
The mouth grows larger.,the mouth,p7,,,,,
The mouth grows larger.,larger,,,,,,
The tadpole can live on land as a frog.,the tadpole,p2,,,,,
The tadpole can live on land as a frog.,on land,,,,,,
The tadpole can live on land as a frog.,as a frog,p8,,,,,
