p1,p2,p3,p4,p5,p6
rain,water,stream,soil,rocks,"eroded area, ravine"
SENTENCE,PHRASE,REFERENCE,,,
An area is at a higher elevation than the surrounding area.,an area,,,,
An area is at a higher elevation than the surrounding area.,at a higher elevation than the surrounding area,,,,
An area is at a higher elevation than the surrounding area.,area,,,,
Rain falls.,rain,p1,,,
Water is in the area of high elevation.,water,p2,,,
Water is in the area of high elevation.,in the area of high elevation,,,,
The water creates a stream.,the water,p2,,,
The water creates a stream.,a stream,p3,,,
The stream moves towards lower elevation.,the stream,p3,,,
The stream moves towards lower elevation.,towards lower elevation,,,,
The stream continues along the same path for a long time.,the stream,p3,,,
The stream continues along the same path for a long time.,along the same path,,,,
The stream continues along the same path for a long time.,for a long time,,,,
The soil and rocks erode where the stream touches them.,the soil and rocks,"p4,p5",,,
The soil and rocks erode where the stream touches them.,where the stream touches them,"p3,p4,p5",,,
The stream moves deeper into the soil.,the stream,p3,,,
The stream moves deeper into the soil.,deeper,,,,
The stream moves deeper into the soil.,deeper into the soil,p4,,,
The stream is smaller than the eroded area.,the stream,p3,,,
The stream is smaller than the eroded area.,smaller than the eroded area,p6,,,
The stream is smaller than the eroded area.,area,p6,,,
