p1,p2,p3,p4,p5
water,water vapor,tiny water droplets,clouds,rain
SENTENCE,PHRASE,REFERENCE,,
Water vapor gets into the atmosphere through a process called evaporation.,water vapor,p2,,
Water vapor gets into the atmosphere through a process called evaporation.,into the atmosphere,,,
Water vapor gets into the atmosphere through a process called evaporation.,the atmosphere,,,
Water vapor gets into the atmosphere through a process called evaporation.,through a process called evaporation,,,
Water vapor gets into the atmosphere through a process called evaporation.,a process,,,
Water vapor gets into the atmosphere through a process called evaporation.,evaporation,,,
"This then turns the water that is at the top of oceans, rivers and lakes into water vapor in the atmosphere using energy from the sun.",this,,,
"This then turns the water that is at the top of oceans, rivers and lakes into water vapor in the atmosphere using energy from the sun.","the water that is at the top of oceans , rivers and lakes",p1,,
"This then turns the water that is at the top of oceans, rivers and lakes into water vapor in the atmosphere using energy from the sun.",in the atmosphere,,,
"This then turns the water that is at the top of oceans, rivers and lakes into water vapor in the atmosphere using energy from the sun.",using energy from the sun,,,
"This then turns the water that is at the top of oceans, rivers and lakes into water vapor in the atmosphere using energy from the sun.",the water,p1,,
"This then turns the water that is at the top of oceans, rivers and lakes into water vapor in the atmosphere using energy from the sun.","at the top of oceans , rivers and lakes",,,
"This then turns the water that is at the top of oceans, rivers and lakes into water vapor in the atmosphere using energy from the sun.",energy from the sun,,,
The water vapor rises in the atmosphere and there it cools down.,the water vapor,p2,,
The water vapor rises in the atmosphere and there it cools down.,water vapor,p2,,
The water vapor rises in the atmosphere and there it cools down.,in the atmosphere,,,
The water vapor rises in the atmosphere and there it cools down.,the water vapor,p2,,
The water vapor rises in the atmosphere and there it cools down.,in the atmosphere,,,
Water vapor rises in the atmosphere and there it cools down and forms tiny water droplets through something called condensation.,water vapor,p2,,
Water vapor rises in the atmosphere and there it cools down and forms tiny water droplets through something called condensation.,in the atmosphere,,,
Water vapor rises in the atmosphere and there it cools down and forms tiny water droplets through something called condensation.,water vapor,p2,,
Water vapor rises in the atmosphere and there it cools down and forms tiny water droplets through something called condensation.,in the atmosphere,,,
Water vapor rises in the atmosphere and there it cools down and forms tiny water droplets through something called condensation.,down,,,
Water vapor rises in the atmosphere and there it cools down and forms tiny water droplets through something called condensation.,water vapor,p2,,
Water vapor rises in the atmosphere and there it cools down and forms tiny water droplets through something called condensation.,tiny water droplets,p3,,
Water vapor rises in the atmosphere and there it cools down and forms tiny water droplets through something called condensation.,through something called condensation,,,
Water vapor rises in the atmosphere and there it cools down and forms tiny water droplets through something called condensation.,something,,,
Water vapor rises in the atmosphere and there it cools down and forms tiny water droplets through something called condensation.,condensation,,,
These then turn into clouds.,these,p3,,
These then turn into clouds.,clouds,p4,,
"When they all combine together, they grow bigger and are too heavy to stay up there in the air.",they all,p4,,
"When they all combine together, they grow bigger and are too heavy to stay up there in the air.",together,,,
"When they all combine together, they grow bigger and are too heavy to stay up there in the air.",when they all combine together,p4,,
"When they all combine together, they grow bigger and are too heavy to stay up there in the air.",they,p4,,
"When they all combine together, they grow bigger and are too heavy to stay up there in the air.",bigger,,,
"When they all combine together, they grow bigger and are too heavy to stay up there in the air.",when they all combine together,p4,,
"When they all combine together, they grow bigger and are too heavy to stay up there in the air.",they,p4,,
"When they all combine together, they grow bigger and are too heavy to stay up there in the air.",too heavy to stay up there in the air,,,
"When they all combine together, they grow bigger and are too heavy to stay up there in the air.",they,p4,,
"When they all combine together, they grow bigger and are too heavy to stay up there in the air.",up,,,
"When they all combine together, they grow bigger and are too heavy to stay up there in the air.",in the air,,,
"This is when they will fall to the ground as rain, or maybe snow or hail by gravity.",this,,,
"This is when they will fall to the ground as rain, or maybe snow or hail by gravity.","when they will fall to the ground as rain , or maybe snow or hail by gravity","p4,p5",,
"This is when they will fall to the ground as rain, or maybe snow or hail by gravity.",they,p4,,
"This is when they will fall to the ground as rain, or maybe snow or hail by gravity.",to the ground,,,
"This is when they will fall to the ground as rain, or maybe snow or hail by gravity.",the ground,,,
"This is when they will fall to the ground as rain, or maybe snow or hail by gravity.","as rain , or maybe snow or hail by gravity",p5,,
,,,,
,,,,
,,,,
,,,,
,,,,
,Question = they == tiny water droplets?,,,
