p1,p2,p3,p4
dam,rain,"water, flood water",floodgates
SENTENCE,PHRASE,REFERENCE,
A dam is built in an area prone to flooding.,a dam,p1,
A dam is built in an area prone to flooding.,in an area prone to flooding,,
A large amount of rain occurs.,a large amount of rain,p2,
The water builds up behind the dam.,the water,p3,
The water builds up behind the dam.,behind the dam,p1,
The dam opens its floodgates when it starts to get full.,the dam,p1,
The dam opens its floodgates when it starts to get full.,its floodgates,p4,
The dam opens its floodgates when it starts to get full.,when it starts to get full,p1,
The dam opens its floodgates when it starts to get full.,the dam,p1,
The dam opens its floodgates when it starts to get full.,to get full,,
The dam opens its floodgates when it starts to get full.,the dam,p1,
The dam opens its floodgates when it starts to get full.,full,,
The water flows into a river below the dam.,the water,p3,
The water flows into a river below the dam.,below the dam,p1,
The water flows into a river below the dam.,into a river below the dam,p1,
The water flows into a river below the dam.,a river,,
The dam closes its gates.,the dam,p1,
The dam closes its gates.,its gates,,
The dam will occasionally open its gates again to gradually release more water.,the dam,p1,
The dam will occasionally open its gates again to gradually release more water.,occasionally,,
The dam will occasionally open its gates again to gradually release more water.,its gates,p4,
The dam will occasionally open its gates again to gradually release more water.,to gradually release more water,p3,
The dam will occasionally open its gates again to gradually release more water.,the dam,p1,
The dam will occasionally open its gates again to gradually release more water.,gradually,,
The dam will occasionally open its gates again to gradually release more water.,more water,p3,
Eventually all of the floodwater will be slowly released into the river without causing any flood damage.,all of the floodwater,p3,
Eventually all of the floodwater will be slowly released into the river without causing any flood damage.,slowly,,
Eventually all of the floodwater will be slowly released into the river without causing any flood damage.,into the river,,
Eventually all of the floodwater will be slowly released into the river without causing any flood damage.,the river,,
Eventually all of the floodwater will be slowly released into the river without causing any flood damage.,without causing any flood damage,,
Eventually all of the floodwater will be slowly released into the river without causing any flood damage.,all of the floodwater,p3,
Eventually all of the floodwater will be slowly released into the river without causing any flood damage.,any flood damage,,
Eventually all of the floodwater will be slowly released into the river without causing any flood damage.,flood damage,,
