p1,p2,p3,p4,p5
batteries,flashlight,lamp,"straight beam of light, beam",circuit
SENTENCE,PHRASE,REFERENCE,,
Batteries are put in a flashlight.,batteries,p1,,
Batteries are put in a flashlight.,in a flashlight,p2,,
Batteries are put in a flashlight.,a flashlight,p2,,
The beam is no longer visible.,the beam,p4,,
The beam is no longer visible.,no longer visible,,,
The flashlight is turned on.,the flashlight,p2,,
Two contact strips touch one another.,two contact strips,,,
Two contact strips touch one another.,one another,,,
A circuit is completed between the batteries and the lamp.,a circuit,p5,,
A circuit is completed between the batteries and the lamp.,between the batteries and the lamp,"p1,p3",,
The lamp in the flashlight begins to glow.,the lamp in the flashlight,"p2,p3",,
The lamp in the flashlight begins to glow.,in the flashlight,p2,,
The lamp in the flashlight begins to glow.,to glow,,,
The reflector in the flashlight directs the lamp's beam.,the reflector in the flashlight,p2,,
The reflector in the flashlight directs the lamp's beam.,in the flashlight,p2,,
The reflector in the flashlight directs the lamp's beam.,the lamp 's beam,p4,,
A straight beam of light is generated.,a straight beam of light,p4,,
The flashlight is turned off.,the flashlight,p2,,
The circuit is broken.,the circuit,p5,,
