p1,p2,p3,p4,p5,p6
tectonic plates,rocks,earth quake,volcanos,rocky area,mountain
SENTENCE,PHRASE,REFERENCE,,,
Tectonic plates beneath the earth rub against each other.,tectonic plates,p1,,,
Tectonic plates beneath the earth rub against each other.,beneath the earth,,,,
Tectonic plates beneath the earth rub against each other.,against each other,p1,,,
Tectonic plates beneath the earth rub against each other.,each other,p1,,,
The volcano and its eruptions become a mountain.,the volcano and its eruptions,p4,,,
The volcano and its eruptions become a mountain.,a mountain,p6,,,
The rocks around the cracks crumble.,the rocks around the cracks,p2,,,
The rocks around the cracks crumble.,around the cracks,,,,
An earth quake happens.,an earth quake,p3,,,
The force of the earthquake is large.,the force of the earthquake,p3,,,
The force of the earthquake is large.,large,,,,
Rocks are pushed up out of the earth by the force.,rocks,p2,,,
Rocks are pushed up out of the earth by the force.,out of the earth,,,,
Rocks are pushed up out of the earth by the force.,by the force,,,,
Rocks are pushed up out of the earth by the force.,the force,,,,
These rocks become volcanos.,these rocks,p2,,,
These rocks become volcanos.,volcanos,p4,,,
The volcanos erupt many times.,the volcanos,p4,,,
The volcanos erupt many times.,many times,,,,
The size of the rocky area grows.,the size of the rocky area,p5,,,
The volcano becomes dormant.,the volcano,p4,,,
The volcano becomes dormant.,dormant,,,,
